Backscattered Energy
Energy (KeV)	Hits (Normalized)
4.07	0.000315448
4.08	0.000286771
4.09	0.000157724
4.1	0.000358464
4.11	0.000215078
4.12	0.000229417
4.13	0.000315448
4.14	0.000258094
4.15	0.000172063
4.16	0.000286771
4.17	0.000358464
4.18	0.00030111
4.19	0.000243756
4.2	0.000186401
4.21	0.000315448
4.22	0.000186401
4.23	0.000243756
4.24	0.00030111
4.25	0.000172063
4.26	0.000229417
4.27	0.000358464
4.28	0.000243756
4.29	0.000286771
4.3	0.000258094
4.31	0.000258094
4.32	0.000258094
4.33	0.000229417
4.34	0.000229417
4.35	0.000272433
4.36	0.000258094
4.37	0.000272433
4.38	0.00030111
4.39	0.000286771
4.4	0.000272433
4.41	0.000286771
4.42	0.000229417
4.43	0.000172063
4.44	0.000315448
4.45	0.000458834
4.46	0.000258094
4.47	0.000286771
4.48	0.000358464
4.49	0.00030111
4.5	0.000272433
4.51	0.000286771
4.52	0.000286771
4.53	0.000243756
4.54	0.00030111
4.55	0.000258094
4.56	0.000258094
4.57	0.000458834
4.58	0.000229417
4.59	0.000372803
4.6	0.000315448
4.61	0.000243756
4.62	0.000229417
4.63	0.00030111
4.64	0.000344125
4.65	0.000272433
4.66	0.000329787
4.67	0.000315448
4.68	0.00030111
4.69	0.000186401
4.7	0.000229417
4.71	0.000329787
4.72	0.000258094
4.73	0.00020074
4.74	0.000243756
4.75	0.000258094
4.76	0.00030111
4.77	0.000315448
4.78	0.000258094
4.79	0.000415818
4.8	0.00040148
4.81	0.000544865
4.82	0.000329787
4.83	0.000358464
4.84	0.000358464
4.85	0.000286771
4.86	0.000329787
4.87	0.000315448
4.88	0.000329787
4.89	0.000258094
4.9	0.000372803
4.91	0.000444495
4.92	0.000372803
4.93	0.000387141
4.94	0.000315448
4.95	0.000286771
4.96	0.000272433
4.97	0.00030111
4.98	0.000372803
4.99	0.000329787
5	0.000387141
5.01	0.000315448
5.02	0.00030111
5.03	0.000458834
5.04	0.000215078
5.05	0.00040148
5.06	0.00030111
5.07	0.000344125
5.08	0.000315448
5.09	0.00030111
5.1	0.00050185
5.11	0.000272433
5.12	0.000286771
5.13	0.000387141
5.14	0.000358464
5.15	0.000487511
5.16	0.000372803
5.17	0.000372803
5.18	0.000344125
5.19	0.000215078
5.2	0.000229417
5.21	0.000344125
5.22	0.000372803
5.23	0.000415818
5.24	0.000243756
5.25	0.000458834
5.26	0.000243756
5.27	0.000372803
5.28	0.000344125
5.29	0.000430157
5.3	0.000315448
5.31	0.000243756
5.32	0.000415818
5.33	0.00050185
5.34	0.000272433
5.35	0.000329787
5.36	0.000387141
5.37	0.000315448
5.38	0.000286771
5.39	0.00040148
5.4	0.000329787
5.41	0.000315448
5.42	0.000516188
5.43	0.000315448
5.44	0.000286771
5.45	0.000415818
5.46	0.000286771
5.47	0.000329787
5.48	0.00040148
5.49	0.000516188
5.5	0.000372803
5.51	0.000444495
5.52	0.00020074
5.53	0.00040148
5.54	0.000272433
5.55	0.000544865
5.56	0.000415818
5.57	0.000329787
5.58	0.000415818
5.59	0.000344125
5.6	0.00030111
5.61	0.000387141
5.62	0.000444495
5.63	0.00030111
5.64	0.000387141
5.65	0.000272433
5.66	0.00040148
5.67	0.000473173
5.68	0.00050185
5.69	0.000458834
5.7	0.000358464
5.71	0.00040148
5.72	0.000272433
5.73	0.000387141
5.74	0.000473173
5.75	0.00040148
5.76	0.000372803
5.77	0.000286771
5.78	0.000329787
5.79	0.000344125
5.8	0.000645235
5.81	0.00040148
5.82	0.000286771
5.83	0.000430157
5.84	0.000415818
5.85	0.000544865
5.86	0.000387141
5.87	0.000458834
5.88	0.000415818
5.89	0.000372803
5.9	0.000573542
5.91	0.000458834
5.92	0.000344125
5.93	0.000387141
5.94	0.000458834
5.95	0.000272433
5.96	0.000487511
5.97	0.000258094
5.98	0.000430157
5.99	0.000516188
6	0.000444495
6.01	0.000315448
6.02	0.000473173
6.03	0.000387141
6.04	0.000530527
6.05	0.000415818
6.06	0.000458834
6.07	0.000458834
6.08	0.000544865
6.09	0.00060222
6.1	0.000458834
6.11	0.000458834
6.12	0.000329787
6.13	0.000358464
6.14	0.00050185
6.15	0.000544865
6.16	0.000573542
6.17	0.000616558
6.18	0.000315448
6.19	0.000430157
6.2	0.00040148
6.21	0.000372803
6.22	0.000430157
6.23	0.000473173
6.24	0.000487511
6.25	0.000516188
6.26	0.000430157
6.27	0.000559204
6.28	0.00040148
6.29	0.000444495
6.3	0.000473173
6.31	0.000415818
6.32	0.00050185
6.33	0.000530527
6.34	0.000559204
6.35	0.000415818
6.36	0.00040148
6.37	0.000530527
6.38	0.000444495
6.39	0.000415818
6.4	0.000430157
6.41	0.000344125
6.42	0.000372803
6.43	0.000573542
6.44	0.000444495
6.45	0.000473173
6.46	0.000415818
6.47	0.000587881
6.48	0.000444495
6.49	0.000444495
6.5	0.000587881
6.51	0.000415818
6.52	0.00050185
6.53	0.000372803
6.54	0.000544865
6.55	0.000444495
6.56	0.000616558
6.57	0.000544865
6.58	0.000573542
6.59	0.000487511
6.6	0.000659574
6.61	0.000387141
6.62	0.00040148
6.63	0.000387141
6.64	0.000544865
6.65	0.00050185
6.66	0.000516188
6.67	0.000444495
6.68	0.000716928
6.69	0.00060222
6.7	0.000516188
6.71	0.00050185
6.72	0.000587881
6.73	0.00060222
6.74	0.000473173
6.75	0.000587881
6.76	0.000473173
6.77	0.000473173
6.78	0.000573542
6.79	0.000616558
6.8	0.000559204
6.81	0.000544865
6.82	0.000387141
6.83	0.000659574
6.84	0.000473173
6.85	0.000659574
6.86	0.000430157
6.87	0.000387141
6.88	0.000430157
6.89	0.000616558
6.9	0.000415818
6.91	0.00050185
6.92	0.00050185
6.93	0.000544865
6.94	0.00050185
6.95	0.000587881
6.96	0.000430157
6.97	0.000544865
6.98	0.000559204
6.99	0.000645235
7	0.000530527
7.01	0.000688251
7.02	0.000430157
7.03	0.000516188
7.04	0.00040148
7.05	0.000587881
7.06	0.000444495
7.07	0.000573542
7.08	0.000458834
7.09	0.000573542
7.1	0.000587881
7.11	0.000473173
7.12	0.000430157
7.13	0.00050185
7.14	0.000573542
7.15	0.000444495
7.16	0.000530527
7.17	0.000573542
7.18	0.000444495
7.19	0.000530527
7.2	0.000573542
7.21	0.000473173
7.22	0.000458834
7.23	0.000487511
7.24	0.000544865
7.25	0.000645235
7.26	0.000473173
7.27	0.000559204
7.28	0.000530527
7.29	0.000530527
7.3	0.000430157
7.31	0.000487511
7.32	0.000516188
7.33	0.000645235
7.34	0.000444495
7.35	0.000645235
7.36	0.000530527
7.37	0.000587881
7.38	0.000616558
7.39	0.000559204
7.4	0.00060222
7.41	0.000487511
7.42	0.000516188
7.43	0.000616558
7.44	0.000559204
7.45	0.000587881
7.46	0.000473173
7.47	0.000616558
7.48	0.000530527
7.49	0.00060222
7.5	0.000802959
7.51	0.000673912
7.52	0.000530527
7.53	0.000731267
7.54	0.000587881
7.55	0.000630897
7.56	0.000616558
7.57	0.000630897
7.58	0.000645235
7.59	0.000573542
7.6	0.000530527
7.61	0.000544865
7.62	0.000458834
7.63	0.000573542
7.64	0.00060222
7.65	0.00060222
7.66	0.000759944
7.67	0.000673912
7.68	0.000616558
7.69	0.000573542
7.7	0.00070259
7.71	0.00060222
7.72	0.000630897
7.73	0.000559204
7.74	0.000473173
7.75	0.000444495
7.76	0.000587881
7.77	0.000430157
7.78	0.000630897
7.79	0.00070259
7.8	0.000774282
7.81	0.000544865
7.82	0.000530527
7.83	0.000530527
7.84	0.000688251
7.85	0.000659574
7.86	0.000573542
7.87	0.000530527
7.88	0.000587881
7.89	0.000544865
7.9	0.000544865
7.91	0.000659574
7.92	0.000573542
7.93	0.000759944
7.94	0.000530527
7.95	0.000559204
7.96	0.000516188
7.97	0.000673912
7.98	0.000544865
7.99	0.000530527
8	0.000616558
8.01	0.000731267
8.02	0.000659574
8.03	0.000616558
8.04	0.000759944
8.05	0.000673912
8.06	0.000630897
8.07	0.000516188
8.08	0.000544865
8.09	0.000788621
8.1	0.000788621
8.11	0.000616558
8.12	0.000430157
8.13	0.000473173
8.14	0.000616558
8.15	0.000731267
8.16	0.000932007
8.17	0.000716928
